Title;Category;Rating;Price;Duration;Skills;Number of viewers;Instructors;Language;Site;Course Type;Courses
Business Analytics Specialization;Data Science;4,6;0,0;48,0;Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ;15;Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,;English;Coursera;Specialization;Unkown
Excel Skills for Business Specialization;Business;4,9;0,0;48,0;Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ;42;Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,;English;Coursera;Specialization;Unkown
Learn SQL Basics for Data Science Specialization;Data Science;4,5;0,0;32,0;Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ;8;Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,;English;Coursera;Specialization;Unkown
The Materiality of ESG Factors Specialization;Business;4,7;0,0;32,0;ESG, Investment, Climate Change, Finance, social activism, ;643;Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,;English;Coursera;Specialization;Unkown
AI For Business Specialization;Business;4,7;0,0;32,0;Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ;169;Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,;English;Coursera;Specialization;Unkown
Digital Product Management Specialization;Computer Science;4,8;0,0;40,0;hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ;2;Alex Cowan ,;English;Coursera;Specialization;Unkown
Leading the Modern Day Business Specialization;Business;4,7;0,0;32,0;Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ;2;Michael Lenox ,Amane Dannouni ,Sonja Rueger ,Ching Fong Ong ,Jeanne M. Liedtka ,Alex Cowan ,;English;Coursera;Specialization;Unkown
Graphic Design Specialization;Arts and Humanities;4,7;0,0;48,0;Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ;15;Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,;English;Coursera;Specialization;Unkown
Security Analyst Fundamentals Specialization;Information Technology;4,8;0,0;32,0;threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ;749;IBM Security Learning Services ,;English;Coursera;Specialization;Unkown
Improve Your English Communication Skills Specialization;Language Learning;4,8;0,0;40,0;Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ;15;Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,;English;Coursera;Specialization;Unkown
Entrepreneurship Specialization;Business;4,8;0,0;48,0;Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ;4;Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,;English;Coursera;Specialization;Unkown
Foundations of Positive Psychology  Specialization;Business;4,8;0,0;40,0;Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ;6;Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,;English;Coursera;Specialization;Unkown
